timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662375820026,742,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,200,OK,Thread Group 1-6,text,true,,2361,2354,10,10,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,742,0,0
1662375819960,848,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,200,OK,Thread Group 1-1,text,true,,528,1760,10,10,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,848,0,0
1662375819938,875,https://q7y8ibn334.execute-api.us-east-1.amazonaws.com/prodlive/getfilter,200,OK,Thread Group 1-10,text,true,,613,2150,10,10,https://q7y8ibn334.execute-api.us-east-1.amazonaws.com/prodlive/getfilter,875,0,0
1662375820394,483,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,200,OK,Thread Group 1-4,text,true,,5068,3280,10,10,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,483,0,0
1662375820382,546,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,200,OK,Thread Group 1-3,text,true,,5068,3280,10,10,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,546,0,0
1662375820562,454,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,200,OK,Thread Group 1-5,text,true,,3242,2865,10,10,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,453,0,0
1662375820330,697,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,200,OK,Thread Group 1-8,text,true,,2361,2354,10,10,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,697,0,0
1662375820648,408,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,200,OK,Thread Group 1-2,text,true,,528,1760,10,10,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,408,0,0
1662375820769,409,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,200,OK,Thread Group 1-6,text,true,,502,1786,10,10,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,409,0,0
1662375820813,448,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,200,OK,Thread Group 1-10,text,true,,3179,4624,10,10,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,446,0,0
1662375820928,416,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,200,OK,Thread Group 1-3,text,true,,608,1801,10,10,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,416,0,0
1662375821028,423,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,200,OK,Thread Group 1-8,text,true,,502,1786,10,10,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,423,0,0
1662375820425,1033,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,200,OK,Thread Group 1-9,text,true,,4432,7200,10,10,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,1032,0,0
1662375821057,585,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,200,OK,Thread Group 1-2,text,true,,1129,1795,10,10,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,585,0,0
1662375820877,836,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,200,OK,Thread Group 1-4,text,true,,608,1801,10,10,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,836,0,0
1662375820594,1181,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,200,OK,Thread Group 1-7,text,true,,2361,2354,10,10,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,1181,0,0
1662375821261,565,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,200,OK,Thread Group 1-10,text,true,,4432,7200,10,10,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,560,0,0
1662375821017,831,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,200,OK,Thread Group 1-5,text,true,,489,3334,10,10,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,831,0,0
1662375820808,1144,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,200,OK,Thread Group 1-1,text,true,,1129,1795,10,10,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,1144,0,0
1662375821642,432,https://q7y8ibn334.execute-api.us-east-1.amazonaws.com/prodlive/getfilter,200,OK,Thread Group 1-2,text,true,,613,2150,10,10,https://q7y8ibn334.execute-api.us-east-1.amazonaws.com/prodlive/getfilter,432,0,0
1662375821714,418,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,200,OK,Thread Group 1-4,text,true,,528,1760,10,10,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,418,0,0
1662375821345,855,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,200,OK,Thread Group 1-3,text,true,,528,1760,10,10,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,855,0,0
1662375821179,1084,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,200,OK,Thread Group 1-6,text,true,,3242,2865,10,10,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,1084,0,0
1662375821848,456,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,200,OK,Thread Group 1-5,text,true,,5068,3280,10,10,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,454,0,0
1662375821458,1050,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,200,OK,Thread Group 1-9,text,true,,2361,2354,10,10,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,1050,0,0
1662375821452,1084,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,200,OK,Thread Group 1-8,text,true,,3242,2865,10,10,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,1083,0,0
1662375821775,850,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,200,OK,Thread Group 1-7,text,true,,502,1786,10,10,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,850,0,0
1662375822264,422,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,200,OK,Thread Group 1-6,text,true,,489,3334,10,10,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,422,0,0
1662375821953,896,https://q7y8ibn334.execute-api.us-east-1.amazonaws.com/prodlive/getfilter,200,OK,Thread Group 1-1,text,true,,613,2150,10,10,https://q7y8ibn334.execute-api.us-east-1.amazonaws.com/prodlive/getfilter,896,0,0
1662375821828,1039,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,200,OK,Thread Group 1-10,text,true,,2361,2354,10,10,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,1039,0,0
1662375822536,410,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,200,OK,Thread Group 1-8,text,true,,489,3334,10,10,https://lmwtjcb3tnhrjl6tbksnm74t44.appsync-api.us-east-1.amazonaws.com/graphql,410,0,0
